Months From Now,Var. Measure,Version,⍺_primal_coef,⍺_primal_Tstat,β_primal_coef,β_primal_Tstat,R^2_primal,⍺_dual_coef,⍺_dual_Tstat,β_dual_coef,β_dual_Tstat,R^2_dual,sum(⍺),sum(β)-1,sum(β)
1,VIX^2,continuous,-0.00018438099299283346,-0.9322872820433258,0.32979401210357495,2.606416169050374,0.025718730701604353,0.00018438099299283373,0.9322872820433273,0.6702059878964253,5.296747846649841,0.09830098062121817,2.710505431213761e-19,2.220446049250313e-16,1.0000000000000002
1,VIX^2,discrete,-0.00018438099299283346,-0.9322872820433258,0.32979401210357495,2.606416169050374,0.025718730701604353,0.0006636370522940716,1.9815378899926959,0.1739832383256794,1.0744963206481095,0.0038604353688971305,0.0004792560593012382,-0.49622274957074564,0.5037772504292544
1,GVIX^2,continuous,-0.00017324044264488625,-0.8990284189195071,0.5157948697576419,2.9581868265835918,0.07019798241499886,0.0001732404426448862,0.8990284189195069,0.4842051302423578,2.77701334703109,0.06238274402384281,-5.421010862427522e-20,-3.3306690738754696e-16,0.9999999999999997
1,GVIX^2,discrete,-0.00017324044264488625,-0.8990284189195071,0.5157948697576419,2.9581868265835918,0.07019798241499886,0.00106669491427876,3.7811668545276405,-0.08895931316241266,-0.9434758442859943,0.0012468500490219192,0.0008934544716338738,-0.5731644434047708,0.4268355565952292
2,VIX^2,continuous,-0.00023414724161292184,-0.850054545085327,0.4693691985131855,3.0359509440707377,0.09590111450833683,0.00023414724161292181,0.8500545450853267,0.5306308014868143,3.432200254788668,0.11938494535858735,-2.710505431213761e-20,-2.220446049250313e-16,0.9999999999999998
2,VIX^2,discrete,-0.00023414724161292184,-0.850054545085327,0.4693691985131855,3.0359509440707377,0.09590111450833683,0.0010389884930643585,3.391038806130744,0.330681329421762,4.049259528932252,0.04142588782330647,0.0008048412514514366,-0.19994947206505254,0.8000505279349475
2,GVIX^2,continuous,-0.00011987853070124683,-0.4515827410415091,0.625135450845287,6.089074447205754,0.16170136735093366,0.00011987853070124665,0.4515827410415084,0.374864549154713,3.6513337138932744,0.06486211037691658,-1.7618285302889447e-19,0.0,1.0
2,GVIX^2,discrete,-0.00011987853070124683,-0.4515827410415091,0.625135450845287,6.089074447205754,0.16170136735093366,0.0016416158528473428,5.784322701198182,0.048122616000764555,0.41861921653623113,0.0010448240509005613,0.001521737322146096,-0.3267419331539485,0.6732580668460515
