,1 month VIX^2 Delta Hedged return(%),1 month Realized Variance Return (%),1 month GVIX^2 Delta Hedged return(%),1 month Realized Weighted_Gamma Variance Return (%),1 month SKEW_KNS Delta Hedged return(%),1 month Realized Weighted Skew Return (%)
count,308.0,308.0,308.0,308.0,308.0,308.0
mean,-8.932709916030651,-19.061022925945483,-7.472515955945484,-18.722424962732557,-38.24715712738226,-26.11851355803938
std,149.95054874171953,157.68215805947548,131.3290461354039,133.94339797526476,570.3576609507637,644.0726562991265
min,-119.52553226105321,-91.15667684919788,-120.07124679416296,-90.3622676412639,-829.155315733769,-348.96071100871256
25%,-53.61067255387533,-59.36002581830131,-50.364104155067366,-57.278827483362065,-124.64478624214,-115.55854830799376
50%,-35.56167301372777,-44.52913810320278,-31.252753837227473,-41.1937191778535,-105.06963768995652,-102.62160967573236
75%,-5.048664477624799,-17.81496407189367,-1.8076208490446841,-14.495766971528846,-67.75427655977418,-69.75714346209577
max,2247.2838254297344,2490.8324551669134,1893.438188422958,2063.8892790816703,8928.367306748267,10552.096189641512
