,2 month VIX^2 Delta Hedged return(%),2 month Realized Variance Return (%),2 month GVIX^2 Delta Hedged return(%),2 month Realized Weighted_Gamma Variance Return (%),2 month SKEW_KNS Delta Hedged return(%),2 month Realized Weighted Skew Return (%)
count,308.0,308.0,308.0,308.0,308.0,308.0
mean,-7.3043853027331895,-17.438920500155497,-6.357804906931832,-17.3812682195156,-7.629547040990316,-5.875804751221221
std,160.33814327211974,163.5232059268816,136.3172544042746,138.06491777569386,602.5276487483391,608.070274699161
min,-109.12393263540446,-87.11282102503445,-108.0211155971816,-85.60859435862538,-486.7318935372598,-396.19211193275993
25%,-55.43475387515966,-61.56870882833266,-50.85274809279599,-58.529089923917184,-124.64654091134754,-115.03459683657232
50%,-38.07182959776472,-48.35281162658044,-33.8050797188431,-44.505537873892116,-106.6514429359822,-101.02693883985404
75%,-12.680677557024126,-20.561661264485785,-7.518456336070626,-16.663935931656653,-70.57254646589614,-74.58968978278676
max,1672.2153207379204,1794.1864164223596,1386.826594394372,1492.9086797771647,5913.173365197228,6926.989142966252
