,3 month VIX^2 Delta Hedged return(%),3 month Realized Variance Return (%),3 month GVIX^2 Delta Hedged return(%),3 month Realized Weighted_Gamma Variance Return (%),3 month SKEW_KNS Delta Hedged return(%),3 month Realized Weighted Skew Return (%)
count,308.0,308.0,308.0,308.0,308.0,308.0
mean,-6.1666134023608965,-15.967129517018432,-4.717209770872975,-16.04562284060118,43.919329433938046,62.045785632094145
std,148.29018030350136,153.84193543938326,127.18527106514432,130.4360847114751,771.1465886004515,857.7032722328055
min,-210.3416795274975,-87.03894272419855,-217.10699783149988,-85.21105638393435,-388.01532364386026,-614.9479565798244
25%,-58.15889620509204,-64.1097430729172,-51.40693472903718,-60.04567768743094,-131.15451792865457,-115.97758385463332
50%,-38.76325273533851,-50.56568679902553,-33.76835680694795,-46.43955895620233,-109.66308414587144,-103.29623570000811
75%,-3.53150873343312,-21.56611239726675,0.9564136632853374,-16.355068386160497,-61.30303836167127,-71.44614869738604
max,1553.679539869848,1648.6408755589025,1297.027595260898,1380.0405297613968,9155.90817862606,9972.876469509605
